,county,lat,long
0,Albany,42.678066,-73.814233
1,Allegany,42.226801,-78.020567
2,Broome,42.122015,-75.933191
3,Cattaraugus,42.224267,-78.606673
4,Cayuga,42.940095,-76.560755
5,Chautauqua,42.246904,-79.315313
6,Chemung,42.116644,-76.812331
7,Chenango,42.481798,-75.570013
8,Clinton,44.731944,-73.548883
9,Columbia,42.276913,-73.682168
10,Cortland,42.597101,-76.143291
11,Delaware,42.242972,-74.997944
12,Dutchess,41.686216,-73.840468
13,Erie,42.888143,-78.795544
14,Essex,44.166026,-73.685145
15,Franklin,44.705699,-74.340621
16,Fulton,43.06014,-74.331296
17,Genesee,43.000121,-78.172679
18,Greene,42.298326,-73.973376
19,Hamilton,43.618468,-74.395268
20,Herkimer,43.070026,-74.994246
21,Jefferson,44.019295,-75.898971
22,Lewis,43.785537,-75.446296
23,Livingston,42.763754,-77.765392
24,Madison,42.986917,-75.720031
25,Monroe,43.161748,-77.620143
26,Montgomery,42.933637,-74.341972
27,Nassau,40.715749,-73.601185
28,Niagara,43.134634,-78.856419
29,Oneida,43.149482,-75.361773
30,Onondaga,43.065629,-76.168033
31,Ontario,42.894571,-77.252045
32,Orange,41.422459,-74.241929
33,Orleans,43.248394,-78.218438
34,Oswego,43.39123,-76.31133
35,Otsego,42.564852,-75.060334
36,Putnam,41.41131,-73.717443
37,Rensselaer,42.70098,-73.628669
38,Rockland,41.127287,-74.017033
39,St. Lawrence,44.689468,-75.242045
40,Saratoga,43.00894,-73.786779
41,Schenectady,42.809233,-73.946838
42,Schoharie,42.643426,-74.434606
43,Schuyler,42.38593,-76.872032
44,Seneca,42.833627,-76.82753
45,Steuben,42.270053,-77.324618
46,Suffolk,40.820237,-73.119032
47,Sullivan,41.705166,-74.711705
48,Tioga,42.120252,-76.29595
49,Tompkins,42.461024,-76.478784
50,Ulster,41.848374,-74.099412
51,Warren,43.403024,-73.716044
52,Washington,43.289513,-73.454761
53,Wayne,43.144336,-77.117995
54,Westchester,41.039278,-73.805386
55,Wyoming,42.723641,-78.204473
56,Yates,42.634338,-77.078311
57,Bronx,40.85589,-73.868294
58,Kings,40.65642,-73.950691
59,New York,40.726966,-74.005966
60,Queens,40.749338,-73.789673
61,Richmond,40.566763,-74.148102
